568,415136
465,414947
846,414679
1606,413733
758,412700
598,412589
840,411759
288,409180
822,408894
1736,407323
709,406901
581,400548
664,400270
630,399799
602,399385
376,399070
1697,398200
869,397857
391,395241
604,394458
530,392572
325,391741
428,390339
718,389511
606,387692
785,387489
443,386716
415,385555
558,384903
466,384793
1733,384571
863,384451
665,383538
815,382748
605,377407
356,375807
877,375645
750,375059
274,372633
416,372455
859,371882
791,368485
1558,367606
314,366905
340,366726
757,366419
495,365837
1689,363730
821,363013
1745,361657
617,359521
629,358919
1610,357682
1653,355995
548,354682
717,354454
518,354039
786,353456
551,353202
355,352841
1783,352254
666,351795
550,351784
756,350163
844,349356
603,348079
557,347815
619,346452
845,345992
553,345968
364,345880
478,345768
496,345709
624,343643
467,341172
519,340939
675,340260
528,339939
716,339321
456,338796
529,338269
710,337729
580,337302
816,336359
570,335934
751,335377
789,334629
618,334080
554,332704
1704,332303
671,332003
820,330733
628,330575
819,330488
569,328934
1556,328757
876,328367
324,327748
525,327693
375,326955
787,326281
790,326006
817,325595
289,325211
860,325013
752,324908
444,324057
273,322991
843,321826
468,321795
712,321603
552,320290
862,320148
714,319123
305,318794
841,318685
788,317599
870,317339
674,317121
755,317007
1734,315688
673,314866
711,314437
626,313792
578,313156
715,312887
754,310367
236,309632
374,309620
576,309508
555,309069
627,308635
497,308142
426,306064
477,305144
668,304801
713,303527
556,303289
373,303106
753,301968
354,301351
579,301321
549,300784
625,300490
405,300338
265,300212
473,299574
392,298842
667,298459
818,297811
367,297641
577,297617
842,296671
508,296214
1696,294899
500,294719
1659,294051
672,292200
502,291581
499,291285
323,290797
501,290673
503,288107
670,284325
498,284161
669,284109
1695,283862
341,283684
623,283420
315,280707
365,280634
861,278068
451,277054
452,277005
504,276821
448,276298
393,275746
620,274914
425,274450
1813,273038
417,271438
445,270905
450,270204
449,269110
1612,268572
256,268345
1692,268034
349,267362
476,265096
350,264267
401,261977
1690,261306
353,260644
507,259984
1641,258701
1555,257203
447,257068
304,257068
875,255880
505,255476
266,255450
520,254560
424,253594
571,252785
475,251834
403,250852
574,250232
321,248688
400,248371
871,247575
397,247044
527,246917
372,242632
1694,242553
402,242310
446,241174
272,241112
342,240955
621,239955
290,239768
575,237705
322,237629
271,236773
455,236172
398,235912
524,235171
316,234553
1605,234461
572,233790
267,233736
366,232642
423,231736
526,231712
474,231507
1557,230625
371,230543
418,229131
394,228537
404,227388
422,226616
523,225974
343,224630
317,223656
1774,223426
521,223326
1560,222845
395,222845
352,221648
622,221554
469,221112
454,220732
573,220643
303,220496
522,220138
1693,220108
1691,219513
453,219507
1705,218600
318,217724
1652,215585
399,215585
320,215472
421,214666
268,213986
345,213288
1824,213235
396,212081
369,212016
470,211277
368,210963
319,210844
874,210276
506,208799
255,207684
370,207116
302,204820
1604,204796
419,200837
872,200744
270,200475
351,200164
420,198101
346,197513
472,197428
269,196474
348,195683
1651,193829
344,193313
291,192225
1804,190953
1561,190197
1649,188825
347,187632
1645,186929
471,185086
